code,current,name_x,name_short,name_tv,gender_x,function,country_code_x,country_x,country_long_x,nationality_x,nationality_long_x,nationality_code_x,height,weight,disciplines,events,birth_date_x,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,family,lang,coach,reason,hero,influence,philosophy,sporting_relatives,ritual,other_sports,medal_date_x,medal_type_x,medal_code_x,name_y,gender_y,country_code_y,country_y,country_long_y,nationality_code_y,nationality_y,nationality_long_y,team,team_gender,discipline_x,event,event_type_x,url_event_x,birth_date_y,code_athlete,code_team,is_medallist,tag,sport,sport_code,sport_url,medal_type_y,medal_code_y,medal_date_y,name,gender,discipline_y,event_type_y,url_event_y,country_code,country_athlete,country_long_athlete,country_total,country_long_total,Gold Medal,Silver Medal,Bronze Medal,Total
1952595,True,QUEIROZ Isaquias,QUEIROZ I,Isaquias QUEIROZ,Male,Athlete,BRA,Brazil,Brazil,Brazil,Brazil,BRA,0.0,0.0,['Canoe Sprint'],"[""Men's Canoe Single 1000m"", ""Men's Canoe Double 500m""]",1994-01-03,UBAITABA,Brazil,,Brazil,Sem Rim (Without Kidney - he lost a kidney when he was 10),,Athlete,,"Wife, Laina. Son, Sebastian (2017). Son, Luigi (2023). Mother, Dona Dilma. Nine siblings, four of whom were adopted","Portuguese, Spanish",Personal: Lauro de Souza Junior (BRA),He tried the sport through a social project in his town run by the Ministry of Sports,"Footballer Neymar (BRA), Brazil's all-time top scorer, won La Liga, Champions League and World Club titles with Barcelona, won five Ligue 1 titles with Paris Saint-Germain.</p><p>Sprinter Usain Bolt (JAM), eight-time Olympic champion (two in 2008, three in 2012, three in 2016);14-time world championship medallist (11 gold, two silver, one bronze)",,,,,,2024-08-09,Silver Medal,2.0,QUEIROZ Isaquias,Male,BRA,Brazil,Brazil,BRA,Brazil,Brazil,,,Canoe Sprint,Men's Canoe Single 1000m,ATH,/en/paris-2024/results/canoe-sprint/men-s-canoe-single-1000m/fnl---------,1994-01-03,1952595,,True,canoe-kayak-flatwater,Canoe Sprint,CSP,https://olympics.com/en/paris-2024/sports/canoe-kayak-flatwater,Silver Medal,2.0,2024-08-09,Isaquias QUEIROZ,M,Canoe Sprint,ATH,/en/paris-2024/results/canoe-sprint/men-s-canoe-single-1000m/fnl---------,BRA,Brazil,Brazil,Brazil,Brazil,3,7,10,20
1550975,True,de GENNARO Giovanni,de GENNARO G,Giovanni de GENNARO,Male,Athlete,ITA,Italy,Italy,Italy,Italy,ITA,0.0,0.0,['Canoe Slalom'],"[""Men's Kayak Single"", ""Men's Kayak Cross""]",1992-07-21,BRESCIA,Italy,RONCADELLE,Italy,Giovi,"Playing music, basketball",Athlete,,"Father, Bruno. Brother, Ricardo","English, Italian",,"""The passion for canoeing was transmitted to me by my father and my brother who always took me to practise it."" (corriere.it, 13 Sep 2013; inabottle.it, 13 Nov 2019)",,Influenced by canoe coach and neighbour Giovanni Zanardello (ITA) who trained him and his brother,"""Passion. Persistence. Perseverance."" (giovannidegennaro.com)","Brother, Riccardo De Gennaro (canoe slalom), best World Cup finish was 33rd in Prague (2012).</p><p>Sister-in-law, Stefanie Horn (canoe slalom), two-time Olympian (Rio 2016, Tokyo 2020), silver medallist in the mixed C2 event at the 2017 World Championships, three-time European Championship medallist (one gold, two silver)",,,2024-08-01,Gold Medal,1.0,de GENNARO Giovanni,Male,ITA,Italy,Italy,ITA,Italy,Italy,,,Canoe Slalom,Men's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-kayak-single/fnl-000100--,1992-07-21,1550975,,True,canoe-kayak-slalom,Canoe Slalom,CSL,https://olympics.com/en/paris-2024/sports/canoe-kayak-slalom,Gold Medal,1.0,2024-08-01,Giovanni de GENNARO,M,Canoe Slalom,ATH,/en/paris-2024/results/canoe-slalom/men-s-kayak-single/fnl-000100--,ITA,Italy,Italy,Italy,Italy,12,13,15,40
1880464,True,CASTRYCK Titouan,CASTRYCK T,Titouan CASTRYCK,Male,Athlete,FRA,France,France,France,France,FRA,0.0,0.0,['Canoe Slalom'],"[""Men's Kayak Single"", ""Men's Kayak Cross""]",2004-08-28,SAINT-MALO,France,CESSON-SEVIGNE / PARIS,France,,,"Athlete, student",Studies Sport Management at the University of Strasbourg (FRA),"Mother, Anne Boixel",French,,,"Canoe slalom paddler Jiri Prskavec (CZE), two-time Olympic K1 medallist (2020 gold, 2016 bronze), 2010 Youth Olympic Games K1 bronze medallist, 11-time world championship medallist (five gold, five silver, one bronze).</p><p>Canoe slalom paddler Boris Neveu (FRA), 2020 Olympian, 16-time world championship medallist (five gold, eight silver, three bronze)",,,"Mother, Anne Boixel (canoe slalom), two-time Olympian (1992, 1996) in women's K1, six-time world championship medallist (three gold, three silver)",,,2024-08-01,Silver Medal,2.0,CASTRYCK Titouan,Male,FRA,France,France,FRA,France,France,,,Canoe Slalom,Men's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-kayak-single/fnl-000100--,2004-08-28,1880464,,True,canoe-kayak-slalom,Canoe Slalom,CSL,https://olympics.com/en/paris-2024/sports/canoe-kayak-slalom,Silver Medal,2.0,2024-08-01,Titouan CASTRYCK,M,Canoe Slalom,ATH,/en/paris-2024/results/canoe-slalom/men-s-kayak-single/fnl-000100--,FRA,France,France,France,France,16,26,22,64
1953935,True,ECHANIZ Pau,ECHANIZ P,Pau ECHANIZ,Male,Athlete,ESP,Spain,Spain,Spain,Spain,ESP,0.0,0.0,['Canoe Slalom'],"[""Men's Kayak Single""]",2001-05-29,SAN SEBASTIAN,Spain,SAN SEBASTIAN,Spain,,"Surfing, fashion",Athlete,"Studied Fashion at the AEG school (2021-2023), the school of professional innovation in San Sebastian (ESP)","Father, Xabier Etxaniz. Mother, Laura Pal Ordeig","Italian, Spanish",,Family went to live in the canoeing environment of La Seu d'Urgell when he was barely a year old. His father was a coach,,,,"Father, Xabier Extaniz (canoe slalom), has served as national coach of the Spanish canoe slalom team. </p><p>Father's partner, Maialen Chourraut (canoe slalom), three-time Olympic medallist in K1 (gold - 2016, silver - 2020, bronze - 2012) over four Olympic Games (2008, 2012, 2016, 2020). Three-time world championship medallist in K1 (two silver, one bronze)",,,2024-08-01,Bronze Medal,3.0,ECHANIZ Pau,Male,ESP,Spain,Spain,ESP,Spain,Spain,,,Canoe Slalom,Men's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-kayak-single/fnl-000100--,2001-05-29,1953935,,True,canoe-kayak-slalom,Canoe Slalom,CSL,https://olympics.com/en/paris-2024/sports/canoe-kayak-slalom,Bronze Medal,3.0,2024-08-01,Pau ECHANIZ,M,Canoe Slalom,ATH,/en/paris-2024/results/canoe-slalom/men-s-kayak-single/fnl-000100--,ESP,Spain,Spain,Spain,Spain,5,4,9,18
1551061,True,D'AMATO Alice,D'AMATO A,Alice D'AMATO,Female,Athlete,ITA,Italy,Italy,Italy,Italy,ITA,0.0,0.0,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault"", ""Women's Team""]",2003-02-07,GENOA,Italy,BRESCIA,Italy,,Music,Armed forces athlete,,"Father, Massimo (deceased in September 2022). Mother, Elena Campanella. Twin sister and fellow gymnast, Asia",Italian,"National/personal: Enrico Casella (ITA).<br>Personal: Monica Bergamelli (ITA), Marco Campodonico (ITA)",Switched to gymnastics after participating in acrobatic dance,"Artistic gymnast Simone Biles (USA), seven-time Olympic medallist (four gold, one silver, two bronze); 30-time world championship medallist (23 gold, four silver, three bronze).</p><p>Artistic gymnast Vanessa Ferrari (ITA), 20202 Olympic silver medallist (floor), four-time world championship medallist (2006 all-around gold, one silver, three bronze)",,,,,,2024-08-05,Gold Medal,1.0,D'AMATO Alice,Female,ITA,Italy,Italy,ITA,Italy,Italy,,,Artistic Gymnastics,Women's Balance Beam,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-balance-beam/fnl-000001--,2003-02-07,1551061,,True,artistic-gymnastics,Artistic Gymnastics,GAR,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,Gold Medal,1.0,2024-08-05,Alice D'AMATO,W,Artistic Gymnastics,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-balance-beam/fnl-000001--,ITA,Italy,Italy,Italy,Italy,12,13,15,40
1560762,True,ESPOSITO Manila,ESPOSITO M,Manila ESPOSITO,Female,Athlete,ITA,Italy,Italy,Italy,Italy,ITA,0.0,0.0,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault"", ""Women's Team""]",2006-11-02,BOSCOTRECASE,Italy,BRESCIA,Italy,,Cinema,Athlete,,"Mother, Margherita",Italian,Personal: Enrico Caselli (ITA),"Her mother noticed her talent after she taught herself basic gymnastics skills. ""It was my first and only sport."" (napoliclick.it, 19 Apr 2023)",,Her parents,"""To achieve important results, commitment, determination and great sacrifices are needed. Not everyone is willing to make them, because ours is not a normal standard of life. But I am rewarded for the commitment made by the victories and this is enough for me."" (napoliclick-it, 19 Apr 2023)",,,,2024-08-05,Bronze Medal,3.0,ESPOSITO Manila,Female,ITA,Italy,Italy,ITA,Italy,Italy,,,Artistic Gymnastics,Women's Balance Beam,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-balance-beam/fnl-000001--,2006-11-02,1560762,,True,artistic-gymnastics,Artistic Gymnastics,GAR,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,Bronze Medal,3.0,2024-08-05,Manila ESPOSITO,W,Artistic Gymnastics,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-balance-beam/fnl-000001--,ITA,Italy,Italy,Italy,Italy,12,13,15,40
1918881,True,ZHOU Yaqin,ZHOU Y,ZHOU Yaqin,Female,Athlete,CHN,China,People's Republic of China,China,People's Republic of China,CHN,0.0,0.0,['Artistic Gymnastics'],"['Women', ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault"", ""Women's Team""]",2005-11-12,HUNAN,China,,China,,,Athlete,,,Mandarin,Club: Jiang Suchun (CHN),,,,,,,,2024-08-05,Silver Medal,2.0,ZHOU Yaqin,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,,,Artistic Gymnastics,Women's Balance Beam,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-balance-beam/fnl-000001--,2005-11-12,1918881,,True,artistic-gymnastics,Artistic Gymnastics,GAR,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,Silver Medal,2.0,2024-08-05,ZHOU Yaqin,W,Artistic Gymnastics,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-balance-beam/fnl-000001--,CHN,China,People's Republic of China,China,People's Republic of China,40,27,24,91
1551307,True,DJURAEV Akbar,DJURAEV A,Akbar DJURAEV,Male,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,0.0,0.0,['Weightlifting'],"[""Men's 102kg""]",1999-10-08,SAYLYK,Uzbekistan,GAZALKENT,Uzbekistan,,,"Athlete, student","Studied at Uzbek State University of Physical Education and Sport (Chirchiq, UZB)","Brother, Azizbek",Uzbek,National: Bakhram Mendibaev (UZB),"He followed his brother into the sport. ""My family really wanted me to choose another profession. They believed that one athlete is enough for a family; they wanted me to become a doctor."" (sports.uz, 30 Dec 2021)",,,,"Brother, Azizbek Djuraev (weightlifting), won gold in the 85kg category at the 2011 Asian Youth Championships",,,2024-08-10,Silver Medal,2.0,DJURAEV Akbar,Male,UZB,Uzbekistan,Uzbekistan,UZB,Uzbekistan,Uzbekistan,,,Weightlifting,Men's 102kg,ATH,/en/paris-2024/results/weightlifting/men-s-102kg/fnl-000100--,1999-10-08,1551307,,True,weightlifting,Weightlifting,WLF,https://olympics.com/en/paris-2024/sports/weightlifting,Silver Medal,2.0,2024-08-10,Akbar DJURAEV,M,Weightlifting,ATH,/en/paris-2024/results/weightlifting/men-s-102kg/fnl-000100--,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,8,2,3,13
1569832,True,TSIKHANTSOU Yauheni,TSIKHANTSOU Y,Yauheni TSIKHANTSOU,Male,Athlete,AIN,AIN,AIN,Belarus,Belarus,BLR,0.0,0.0,['Weightlifting'],"[""Men's 102kg""]",1998-11-04,GOMEL,Belarus,GOMEL,Belarus,Zhenya,"Spending time with family and friends, reading, playing computer games, taking walks",Athlete,"Studied at Belarusian National Technical University (Minsk, BLR)",,Russian,"Personal: Mikhail Rabikovsky (BLR), Valery Sizianok (BLR)",,,,,,,,2024-08-10,Bronze Medal,3.0,TSIKHANTSOU Yauheni,Male,AIN,AIN,AIN,BLR,Belarus,Belarus,,,Weightlifting,Men's 102kg,ATH,/en/paris-2024/results/weightlifting/men-s-102kg/fnl-000100--,1998-11-04,1569832,,True,weightlifting,Weightlifting,WLF,https://olympics.com/en/paris-2024/sports/weightlifting,Bronze Medal,3.0,2024-08-10,Yauheni TSIKHANTSOU,M,Weightlifting,ATH,/en/paris-2024/results/weightlifting/men-s-102kg/fnl-000100--,AIN,AIN,AIN,AIN,AIN,1,3,1,5
1918369,True,LIU Huanhua,LIU H,LIU Huanhua,Male,Athlete,CHN,China,People's Republic of China,China,People's Republic of China,CHN,0.0,0.0,['Weightlifting'],"[""Men's 102kg""]",2001-08-20,JINPING,China,BEIJING,China,"Desperate Saburo, Gigachad",,Athlete,,"Father, Jianguo. Mother, Deng Shufang. One older brother. One younger sister",Mandarin,National: Yu Jie (CHN),As a child he helped his family at home feeding the pigs. Later he was recruited onto his middle school's weightlifting team,"Weightlifter Lyu Xiaojun (CHN), three-time Olympic medallist (two gold, one silver), six-time world championship medallist (five gold, one silver)",,,,,,2024-08-10,Gold Medal,1.0,LIU Huanhua,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,,,Weightlifting,Men's 102kg,ATH,/en/paris-2024/results/weightlifting/men-s-102kg/fnl-000100--,2001-08-20,1918369,,True,weightlifting,Weightlifting,WLF,https://olympics.com/en/paris-2024/sports/weightlifting,Gold Medal,1.0,2024-08-10,LIU Huanhua,M,Weightlifting,ATH,/en/paris-2024/results/weightlifting/men-s-102kg/fnl-000100--,CHN,China,People's Republic of China,China,People's Republic of China,40,27,24,91
